user_id,recipe_name,user_gender,user_age,user_hobbies,user_health,user_history,meals,rating
0,sinh tố cà chua,0,người già,,bệnh tiểu đường,[],214,3
0,lươn um nước dừa,0,người già,,bệnh tiểu đường,[],166,5
0,cà tím tẩm bột chiên giòn,0,người già,,bệnh tiểu đường,[],982,5
0,ngọn bí xào tỏi,0,người già,,bệnh tiểu đường,[],733,5
0,cá lóc cuộn nấm nướng sốt chanh,0,người già,,bệnh tiểu đường,[],855,5
0,rau muống luộc,0,người già,,bệnh tiểu đường,[],8,5
0,canh chua tôm ngó sen,0,người già,,bệnh tiểu đường,[],692,2
0,chè khoai cao,0,người già,,bệnh tiểu đường,[],262,5
0,thịt heo luộc mắm thái,0,người già,,bệnh tiểu đường,[],444,5
0,lẩu vịt,0,người già,,bệnh tiểu đường,[],602,5
0,chè đậu xanh,0,người già,,bệnh tiểu đường,[],449,4
0,bắp bò ngâm nước mắm,0,người già,,bệnh tiểu đường,[],310,4
0,salad thịt bò cà tím,0,người già,,bệnh tiểu đường,[],677,5
0,bánh mỳ cuộn tôm chiên,0,người già,,bệnh tiểu đường,[],959,5
0,cá nục hấp hành,0,người già,,bệnh tiểu đường,[],379,4
0,chè mủ trôm,0,người già,,bệnh tiểu đường,[],790,4
0,canh bí đỏ thịt bằm,0,người già,,bệnh tiểu đường,[],553,4
0,dưa chuột cắt lát,0,người già,,bệnh tiểu đường,[],969,5
0,củ năng nấu sườn,0,người già,,bệnh tiểu đường,[],270,5
0,canh sườn non đu đủ,0,người già,,bệnh tiểu đường,[],487,5
0,sữa chua,0,người già,,bệnh tiểu đường,[],609,1
0,canh củ cải nấu giò heo,0,người già,,bệnh tiểu đường,[],302,5
0,cà tím nướng mỡ hành,0,người già,,bệnh tiểu đường,[],732,1
0,rau muống luộc,0,người già,,bệnh tiểu đường,[],8,5
0,sườn xào dứa,0,người già,,bệnh tiểu đường,[],20,5
0,nước ép nho,0,người già,,bệnh tiểu đường,[],175,5
0,bó xôi xào tỏi,0,người già,,bệnh tiểu đường,[],872,5
0,canh củ dền nấu tôm tươi,0,người già,,bệnh tiểu đường,[],221,5
0,cà muối,0,người già,,bệnh tiểu đường,[],124,2
0,canh bí đỏ nấu tôm khô,0,người già,,bệnh tiểu đường,[],200,5
0,sinh tố dưa gang,0,người già,,bệnh tiểu đường,[],171,5
0,tôm rang,0,người già,,bệnh tiểu đường,[],124,3
0,nước trà atiso,0,người già,,bệnh tiểu đường,[],741,5
0,măng xào tôm,0,người già,,bệnh tiểu đường,[],725,2
0,thịt viên sốt cà chua,0,người già,,bệnh tiểu đường,[],80,5
0,tôm rang,0,người già,,bệnh tiểu đường,[],40,5
0,giò heo rút xương chiên,0,người già,,bệnh tiểu đường,[],511,5
0,sườn xào chua ngọt,0,người già,,bệnh tiểu đường,[],100,2
0,bột cuộn cá chẽm nướng,0,người già,,bệnh tiểu đường,[],160,5
0,canh sườn nấu khoai môn,0,người già,,bệnh tiểu đường,[],494,5
0,chè hạt sen,0,người già,,bệnh tiểu đường,[],429,3
0,thịt heo kho tàu,0,người già,,bệnh tiểu đường,[],714,5
0,canh đậu ngự hầm xường non,0,người già,,bệnh tiểu đường,[],284,5
0,nước ép cam,0,người già,,bệnh tiểu đường,[],704,3
0,sữa đậu xanh,0,người già,,bệnh tiểu đường,[],656,3
0,chôm chôm ướp lạnh,0,người già,,bệnh tiểu đường,[],769,5
0,nước ép thơm,0,người già,,bệnh tiểu đường,[],303,4
0,rau cải luộc,0,người già,,bệnh tiểu đường,[],977,4
0,thịt kho nghệ,0,người già,,bệnh tiểu đường,[],874,5
0,dưa món,0,người già,,bệnh tiểu đường,[],813,4
1,canh cải mầm nấu giò sống,1,trẻ em,,,[],502,5
1,sữa đậu phộng,1,trẻ em,,,[],353,4
1,chè hoa cúc táo đỏ,1,trẻ em,,,[],849,4
1,pudding xoài,1,trẻ em,,,[],674,5
1,bò xào bông cải,1,trẻ em,,,[],298,4
1,nước ép lê,1,trẻ em,,,[],590,1
1,bánh mì trứng ốp la,1,trẻ em,,,[],343,5
1,nước cam ép,1,trẻ em,,,[],517,5
1,tôm rang,1,trẻ em,,,[],129,2
1,trái cây ướp lạnh,1,trẻ em,,,[],715,3
1,tôm rang me,1,trẻ em,,,[],503,5
1,cá trê chiên giòn mắm gừng,1,trẻ em,,,[],782,5
1,gỏi ngó sen chay,1,trẻ em,,,[],392,5
1,nước ép ổi,1,trẻ em,,,[],237,3
