user_id,recipe_name,user_gender,user_age,user_hobbies,user_health,top1_meals,top2_meals,top3_meals,top4_meals,top5_meals
0,mực xào sa tế,1,người lớn,,bệnh huyết áp cao,335,,,,
0,cá trắm nấu ngót,1,người lớn,,bệnh huyết áp cao,205,,,,
0,súp hoành thánh hải sản,1,người lớn,,bệnh huyết áp cao,843,,,,
0,canh sườn nấu đậu ngự,1,người lớn,,bệnh huyết áp cao,635,,,,
0,cà tím nhồi thịt nướng,1,người lớn,,bệnh huyết áp cao,975,,,,
0,điêu hồng kho tương,1,người lớn,,bệnh huyết áp cao,,,,,
0,canh măng nấu sườn,1,người lớn,,bệnh huyết áp cao,911,,,,
0,tôm chiên sả ớt,1,người lớn,,bệnh huyết áp cao,65,,,,
0,khoai tây chiên,1,người lớn,,bệnh huyết áp cao,66,,,,
0,chè bo bo nấu phổ tai,1,người lớn,,bệnh huyết áp cao,910,,,,
0,thịt bò kho,1,người lớn,,bệnh huyết áp cao,559,,,,
0,bí đao xào thịt,1,người lớn,,bệnh huyết áp cao,410,956,,,
0,cải thìa xào tôm thịt,1,người lớn,,bệnh huyết áp cao,298,,,,
0,phá lấu bánh mì,1,người lớn,,bệnh huyết áp cao,240,828,,,
0,canh rua dền tím nấu tôm,1,người lớn,,bệnh huyết áp cao,706,,,,
0,ngao hấp sả,1,người lớn,,bệnh huyết áp cao,43,,,,
0,vịt kho chao,1,người lớn,,bệnh huyết áp cao,839,,,,
0,thịt viên xiên nướng,1,người lớn,,bệnh huyết áp cao,134,,,,
0,chè đậu xanh phổ tai,1,người lớn,,bệnh huyết áp cao,767,,,,
0,cá bống đục kho nước dừa,1,người lớn,,bệnh huyết áp cao,256,,,,
1,rau muống xào,0,trẻ em,,,55,106,256,524,802
1,nộm sứa,0,trẻ em,,,97,,,,
1,gỏi mít non tôm thịt,0,trẻ em,,,,,,,
1,cá thu nhật nấu ngót,0,trẻ em,,,,,,,
1,thịt kho tiêu,0,trẻ em,,,614,656,667,,
1,bánh mì cuộn kem trái cây,0,trẻ em,,,666,,,,
1,vịt quay om nước tương,0,trẻ em,,,266,,,,
1,canh củ năng nấu sườn non,0,trẻ em,,,169,,,,
1,cơm rượu bắc,0,trẻ em,,,259,805,,,
1,cải thìa luộc,0,trẻ em,,,167,293,,,
1,canh cải xanh nấu bò,0,trẻ em,,,782,,,,
1,tim heo xào chua ngọt,0,trẻ em,,,778,,,,
1,thác lác nấu riêu,0,trẻ em,,,383,929,,,
1,ếch rim xả ớt,0,trẻ em,,,331,,,,
1,canh rau cải nấu thịt,0,trẻ em,,,63,,,,
1,thịt viên sốt cà chua,0,trẻ em,,,72,115,963,,
1,sườn rán,0,trẻ em,,,73,,,,
1,"nước ép táo, nam việt quất",0,trẻ em,,,,,,,
1,hến xào xúc bánh tráng,0,trẻ em,,,628,,,,
1,cá rô chiên,0,trẻ em,,,39,,,,
2,canh súp,0,người già,,bệnh tiểu đường,847,,,,
2,nước trà atiso,0,người già,,bệnh tiểu đường,735,,,,
2,mít ướp lạnh,0,người già,,bệnh tiểu đường,247,358,793,841,940
2,bánh mì cá,0,người già,,bệnh tiểu đường,750,,,,
2,canh su hào thịt bằm,0,người già,,bệnh tiểu đường,983,,,,
2,lươn cuốn lá cách chiên,0,người già,,bệnh tiểu đường,637,,,,
2,cá trứng rim tiêu,0,người già,,bệnh tiểu đường,965,966,,,
2,canh tôm nấu mướp,0,người già,,bệnh tiểu đường,634,,,,
2,bò xào nấmbắp non  cà rốt,0,người già,,bệnh tiểu đường,244,937,,,
